Month,2134 Programmers and software development professionals,2135 Cyber security professionals,"2433 Actuaries, economists and statisticians",3133 Database administrators and web content technicians,3544 Data analysts
2023-01-01,25269.0,3712.0,3993.0,2397.0,3606.0
2023-02-01,25118.0,3367.0,3131.0,2084.0,3358.0
2023-03-01,21905.0,3073.0,2908.0,1883.0,3261.0
2023-04-01,15409.0,2511.0,2473.0,1507.0,2462.0
2023-05-01,17787.0,2923.0,3069.0,1958.0,2962.0
2023-06-01,18059.0,2889.0,2858.0,2069.0,2965.0
2023-07-01,14683.0,2196.0,1888.0,1475.0,2289.0
2023-08-01,14362.0,2268.0,1760.0,1435.0,2084.0
2023-09-01,10130.0,1511.0,1719.0,1052.0,1614.0
2023-10-01,10885.0,1689.0,1845.0,1176.0,1741.0
2023-11-01,10015.0,1639.0,1899.0,1090.0,1699.0
2023-12-01,10583.0,1715.0,1854.0,981.0,1558.0
2024-01-01,12467.0,1990.0,2061.0,1440.0,1952.0
2024-02-01,9540.0,1461.0,1763.0,1179.0,1643.0
2024-03-01,8820.0,1442.0,1815.0,1101.0,1457.0
2024-04-01,9168.0,1449.0,1757.0,1185.0,1538.0
2024-05-01,9123.0,1524.0,1785.0,1237.0,1664.0
2024-06-01,7780.0,1341.0,1457.0,1100.0,1444.0
2024-07-01,8404.0,1637.0,1370.0,1172.0,1566.0
2024-08-01,7352.0,1407.0,1234.0,1058.0,1449.0
2024-09-01,7604.0,1327.0,1422.0,1130.0,1355.0
2024-10-01,7219.0,1283.0,1417.0,1103.0,1261.0
2024-11-01,6738.0,1250.0,1383.0,973.0,1274.0
2024-12-01,4754.0,1032.0,1057.0,656.0,913.0
2025-01-01,7196.0,1402.0,1467.0,983.0,1394.0
2025-02-01,8952.0,1710.0,1974.0,1202.0,1625.0
2025-03-01,9700.0,1936.0,2159.0,1207.0,1733.0
2025-04-01,7997.0,1719.0,1597.0,955.0,1326.0
2025-05-01,12689.0,2417.0,2548.0,1409.0,2006.0
