Month,Year,SOC_Code,Occupation,Skill_Category,Job_Adverts
2023-01-01,2023,2134,Programmers and software development professionals,Software Development,25269.0
2023-02-01,2023,2134,Programmers and software development professionals,Software Development,25118.0
2023-03-01,2023,2134,Programmers and software development professionals,Software Development,21905.0
2023-04-01,2023,2134,Programmers and software development professionals,Software Development,15409.0
2023-05-01,2023,2134,Programmers and software development professionals,Software Development,17787.0
2023-06-01,2023,2134,Programmers and software development professionals,Software Development,18059.0
2023-07-01,2023,2134,Programmers and software development professionals,Software Development,14683.0
2023-08-01,2023,2134,Programmers and software development professionals,Software Development,14362.0
2023-09-01,2023,2134,Programmers and software development professionals,Software Development,10130.0
2023-10-01,2023,2134,Programmers and software development professionals,Software Development,10885.0
2023-11-01,2023,2134,Programmers and software development professionals,Software Development,10015.0
2023-12-01,2023,2134,Programmers and software development professionals,Software Development,10583.0
2024-01-01,2024,2134,Programmers and software development professionals,Software Development,12467.0
2024-02-01,2024,2134,Programmers and software development professionals,Software Development,9540.0
2024-03-01,2024,2134,Programmers and software development professionals,Software Development,8820.0
2024-04-01,2024,2134,Programmers and software development professionals,Software Development,9168.0
2024-05-01,2024,2134,Programmers and software development professionals,Software Development,9123.0
2024-06-01,2024,2134,Programmers and software development professionals,Software Development,7780.0
2024-07-01,2024,2134,Programmers and software development professionals,Software Development,8404.0
2024-08-01,2024,2134,Programmers and software development professionals,Software Development,7352.0
2024-09-01,2024,2134,Programmers and software development professionals,Software Development,7604.0
2024-10-01,2024,2134,Programmers and software development professionals,Software Development,7219.0
2024-11-01,2024,2134,Programmers and software development professionals,Software Development,6738.0
2024-12-01,2024,2134,Programmers and software development professionals,Software Development,4754.0
2025-01-01,2025,2134,Programmers and software development professionals,Software Development,7196.0
2025-02-01,2025,2134,Programmers and software development professionals,Software Development,8952.0
2025-03-01,2025,2134,Programmers and software development professionals,Software Development,9700.0
2025-04-01,2025,2134,Programmers and software development professionals,Software Development,7997.0
2025-05-01,2025,2134,Programmers and software development professionals,Software Development,12689.0
2025-06-01,2025,2134,Programmers and software development professionals,Software Development,12215.0
2025-07-01,2025,2134,Programmers and software development professionals,Software Development,9892.0
2025-08-01,2025,2134,Programmers and software development professionals,Software Development,7744.0
2025-09-01,2025,2134,Programmers and software development professionals,Software Development,9404.0
2025-10-01,2025,2134,Programmers and software development professionals,Software Development,10213.0
2025-11-01,2025,2134,Programmers and software development professionals,Software Development,12592.0
2025-12-01,2025,2134,Programmers and software development professionals,Software Development,5222.0
2023-01-01,2023,2135,Cyber security professionals,Cybersecurity,3712.0
2023-02-01,2023,2135,Cyber security professionals,Cybersecurity,3367.0
2023-03-01,2023,2135,Cyber security professionals,Cybersecurity,3073.0
2023-04-01,2023,2135,Cyber security professionals,Cybersecurity,2511.0
2023-05-01,2023,2135,Cyber security professionals,Cybersecurity,2923.0
2023-06-01,2023,2135,Cyber security professionals,Cybersecurity,2889.0
2023-07-01,2023,2135,Cyber security professionals,Cybersecurity,2196.0
2023-08-01,2023,2135,Cyber security professionals,Cybersecurity,2268.0
2023-09-01,2023,2135,Cyber security professionals,Cybersecurity,1511.0
2023-10-01,2023,2135,Cyber security professionals,Cybersecurity,1689.0
2023-11-01,2023,2135,Cyber security professionals,Cybersecurity,1639.0
2023-12-01,2023,2135,Cyber security professionals,Cybersecurity,1715.0
2024-01-01,2024,2135,Cyber security professionals,Cybersecurity,1990.0
2024-02-01,2024,2135,Cyber security professionals,Cybersecurity,1461.0
2024-03-01,2024,2135,Cyber security professionals,Cybersecurity,1442.0
2024-04-01,2024,2135,Cyber security professionals,Cybersecurity,1449.0
2024-05-01,2024,2135,Cyber security professionals,Cybersecurity,1524.0
2024-06-01,2024,2135,Cyber security professionals,Cybersecurity,1341.0
2024-07-01,2024,2135,Cyber security professionals,Cybersecurity,1637.0
2024-08-01,2024,2135,Cyber security professionals,Cybersecurity,1407.0
2024-09-01,2024,2135,Cyber security professionals,Cybersecurity,1327.0
2024-10-01,2024,2135,Cyber security professionals,Cybersecurity,1283.0
2024-11-01,2024,2135,Cyber security professionals,Cybersecurity,1250.0
2024-12-01,2024,2135,Cyber security professionals,Cybersecurity,1032.0
2025-01-01,2025,2135,Cyber security professionals,Cybersecurity,1402.0
2025-02-01,2025,2135,Cyber security professionals,Cybersecurity,1710.0
2025-03-01,2025,2135,Cyber security professionals,Cybersecurity,1936.0
2025-04-01,2025,2135,Cyber security professionals,Cybersecurity,1719.0
2025-05-01,2025,2135,Cyber security professionals,Cybersecurity,2417.0
2025-06-01,2025,2135,Cyber security professionals,Cybersecurity,
2025-07-01,2025,2135,Cyber security professionals,Cybersecurity,
2025-08-01,2025,2135,Cyber security professionals,Cybersecurity,1846.0
2025-09-01,2025,2135,Cyber security professionals,Cybersecurity,1635.0
2025-10-01,2025,2135,Cyber security professionals,Cybersecurity,2125.0
2025-11-01,2025,2135,Cyber security professionals,Cybersecurity,2626.0
2025-12-01,2025,2135,Cyber security professionals,Cybersecurity,1044.0
2023-01-01,2023,3544,Data analysts,Data Analytics,3606.0
2023-02-01,2023,3544,Data analysts,Data Analytics,3358.0
2023-03-01,2023,3544,Data analysts,Data Analytics,3261.0
2023-04-01,2023,3544,Data analysts,Data Analytics,2462.0
2023-05-01,2023,3544,Data analysts,Data Analytics,2962.0
2023-06-01,2023,3544,Data analysts,Data Analytics,2965.0
2023-07-01,2023,3544,Data analysts,Data Analytics,2289.0
2023-08-01,2023,3544,Data analysts,Data Analytics,2084.0
2023-09-01,2023,3544,Data analysts,Data Analytics,1614.0
2023-10-01,2023,3544,Data analysts,Data Analytics,1741.0
2023-11-01,2023,3544,Data analysts,Data Analytics,1699.0
2023-12-01,2023,3544,Data analysts,Data Analytics,1558.0
2024-01-01,2024,3544,Data analysts,Data Analytics,1952.0
2024-02-01,2024,3544,Data analysts,Data Analytics,1643.0
2024-03-01,2024,3544,Data analysts,Data Analytics,1457.0
2024-04-01,2024,3544,Data analysts,Data Analytics,1538.0
2024-05-01,2024,3544,Data analysts,Data Analytics,1664.0
2024-06-01,2024,3544,Data analysts,Data Analytics,1444.0
2024-07-01,2024,3544,Data analysts,Data Analytics,1566.0
2024-08-01,2024,3544,Data analysts,Data Analytics,1449.0
2024-09-01,2024,3544,Data analysts,Data Analytics,1355.0
2024-10-01,2024,3544,Data analysts,Data Analytics,1261.0
2024-11-01,2024,3544,Data analysts,Data Analytics,1274.0
2024-12-01,2024,3544,Data analysts,Data Analytics,913.0
2025-01-01,2025,3544,Data analysts,Data Analytics,1394.0
2025-02-01,2025,3544,Data analysts,Data Analytics,1625.0
2025-03-01,2025,3544,Data analysts,Data Analytics,1733.0
2025-04-01,2025,3544,Data analysts,Data Analytics,1326.0
2025-05-01,2025,3544,Data analysts,Data Analytics,2006.0
2025-06-01,2025,3544,Data analysts,Data Analytics,2094.0
2025-07-01,2025,3544,Data analysts,Data Analytics,1757.0
2025-08-01,2025,3544,Data analysts,Data Analytics,1831.0
2025-09-01,2025,3544,Data analysts,Data Analytics,1692.0
2025-10-01,2025,3544,Data analysts,Data Analytics,1606.0
2025-11-01,2025,3544,Data analysts,Data Analytics,2005.0
2025-12-01,2025,3544,Data analysts,Data Analytics,808.0
