O*NET-SOC Code,Title,Workplace Example,Element Name,Hot Technology,In Demand,Skill_Category
11-1011.00,Chief Executives,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
11-1011.03,Chief Sustainability Officers,Structure query language SQL,Data base user interface and query software,N,N,Data Analytics
11-1011.03,Chief Sustainability Officers,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
11-1021.00,General and Operations Managers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
11-1021.00,General and Operations Managers,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
11-1021.00,General and Operations Managers,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
11-1021.00,General and Operations Managers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
11-1021.00,General and Operations Managers,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
11-1031.00,Legislators,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
11-1031.00,Legislators,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
11-2011.00,Advertising and Promotions Managers,Microsoft SQL Server,Data base management system software,Y,N,Data Analytics
11-2011.00,Advertising and Promotions Managers,Structure query language SQL,Data base user interface and query software,N,N,Data Analytics
11-2011.00,Advertising and Promotions Managers,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
11-2021.00,Marketing Managers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
11-2021.00,Marketing Managers,MySQL,Data base user interface and query software,Y,N,Data Analytics
11-2021.00,Marketing Managers,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
11-2021.00,Marketing Managers,NoSQL,Data base management system software,Y,N,Data Analytics
11-2021.00,Marketing Managers,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
11-2021.00,Marketing Managers,Python,Object or component oriented development software,Y,N,Data Analytics
11-2021.00,Marketing Managers,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
11-2021.00,Marketing Managers,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
