Month,Occupation,Demand,Median_Salary
2023-01-01,"Actuaries, economists and statisticians",3993.0,55000.0
2023-01-01,Cyber security professionals,3712.0,55000.0
2023-01-01,Data analysts,3606.0,39000.0
2023-01-01,Database administrators and web content technicians,2397.0,30000.0
2023-01-01,Programmers and software development professionals,25269.0,52500.0
2023-02-01,"Actuaries, economists and statisticians",3131.0,52500.0
2023-02-01,Cyber security professionals,3367.0,55000.0
2023-02-01,Data analysts,3358.0,39100.0
2023-02-01,Database administrators and web content technicians,2084.0,30200.0
2023-02-01,Programmers and software development professionals,25118.0,55000.0
2023-03-01,"Actuaries, economists and statisticians",2908.0,52500.0
2023-03-01,Cyber security professionals,3073.0,55000.0
2023-03-01,Data analysts,3261.0,40000.0
2023-03-01,Database administrators and web content technicians,1883.0,31100.0
2023-03-01,Programmers and software development professionals,21905.0,55000.0
2023-04-01,"Actuaries, economists and statisticians",2473.0,52500.0
2023-04-01,Cyber security professionals,2511.0,55100.0
2023-04-01,Data analysts,2462.0,40000.0
2023-04-01,Database administrators and web content technicians,1507.0,31000.0
2023-04-01,Programmers and software development professionals,15409.0,55000.0
2023-05-01,"Actuaries, economists and statisticians",3069.0,54100.0
2023-05-01,Cyber security professionals,2923.0,56800.0
2023-05-01,Data analysts,2962.0,40000.0
2023-05-01,Database administrators and web content technicians,1958.0,31200.0
2023-05-01,Programmers and software development professionals,17787.0,55000.0
2023-06-01,"Actuaries, economists and statisticians",2858.0,55000.0
2023-06-01,Cyber security professionals,2889.0,57500.0
2023-06-01,Data analysts,2965.0,39600.0
2023-06-01,Database administrators and web content technicians,2069.0,32000.0
2023-06-01,Programmers and software development professionals,18059.0,55000.0
2023-07-01,"Actuaries, economists and statisticians",1888.0,56000.0
2023-07-01,Cyber security professionals,2196.0,57500.0
2023-07-01,Data analysts,2289.0,40000.0
2023-07-01,Database administrators and web content technicians,1475.0,33000.0
2023-07-01,Programmers and software development professionals,14683.0,55000.0
2023-08-01,"Actuaries, economists and statisticians",1760.0,53300.0
2023-08-01,Cyber security professionals,2268.0,55000.0
2023-08-01,Data analysts,2084.0,40000.0
2023-08-01,Database administrators and web content technicians,1435.0,32500.0
2023-08-01,Programmers and software development professionals,14362.0,51600.0
2023-09-01,"Actuaries, economists and statisticians",1719.0,55000.0
2023-09-01,Cyber security professionals,1511.0,55000.0
2023-09-01,Data analysts,1614.0,40000.0
2023-09-01,Database administrators and web content technicians,1052.0,32500.0
2023-09-01,Programmers and software development professionals,10130.0,52500.0
2023-10-01,"Actuaries, economists and statisticians",1845.0,54700.0
2023-10-01,Cyber security professionals,1689.0,55000.0
2023-10-01,Data analysts,1741.0,40000.0
2023-10-01,Database administrators and web content technicians,1176.0,34000.0
2023-10-01,Programmers and software development professionals,10885.0,52500.0
2023-11-01,"Actuaries, economists and statisticians",1899.0,55000.0
2023-11-01,Cyber security professionals,1639.0,55000.0
2023-11-01,Data analysts,1699.0,40000.0
2023-11-01,Database administrators and web content technicians,1090.0,34000.0
2023-11-01,Programmers and software development professionals,10015.0,52500.0
2023-12-01,"Actuaries, economists and statisticians",1854.0,57500.0
2023-12-01,Cyber security professionals,1715.0,55000.0
2023-12-01,Data analysts,1558.0,40000.0
2023-12-01,Database administrators and web content technicians,981.0,32500.0
2023-12-01,Programmers and software development professionals,10583.0,52500.0
2024-01-01,"Actuaries, economists and statisticians",2061.0,57300.0
2024-01-01,Cyber security professionals,1990.0,55000.0
2024-01-01,Data analysts,1952.0,40000.0
2024-01-01,Database administrators and web content technicians,1440.0,31500.0
2024-01-01,Programmers and software development professionals,12467.0,52500.0
2024-02-01,"Actuaries, economists and statisticians",1763.0,55000.0
2024-02-01,Cyber security professionals,1461.0,55000.0
2024-02-01,Data analysts,1643.0,40000.0
2024-02-01,Database administrators and web content technicians,1179.0,31500.0
2024-02-01,Programmers and software development professionals,9540.0,50000.0
2024-03-01,"Actuaries, economists and statisticians",1815.0,55400.0
2024-03-01,Cyber security professionals,1442.0,55000.0
2024-03-01,Data analysts,1457.0,40000.0
2024-03-01,Database administrators and web content technicians,1101.0,31500.0
2024-03-01,Programmers and software development professionals,8820.0,50000.0
2024-04-01,"Actuaries, economists and statisticians",1757.0,56200.0
2024-04-01,Cyber security professionals,1449.0,55000.0
2024-04-01,Data analysts,1538.0,40000.0
2024-04-01,Database administrators and web content technicians,1185.0,31200.0
2024-04-01,Programmers and software development professionals,9168.0,50000.0
2024-05-01,"Actuaries, economists and statisticians",1785.0,54800.0
2024-05-01,Cyber security professionals,1524.0,55000.0
2024-05-01,Data analysts,1664.0,40000.0
2024-05-01,Database administrators and web content technicians,1237.0,31000.0
2024-05-01,Programmers and software development professionals,9123.0,50000.0
2024-06-01,"Actuaries, economists and statisticians",1457.0,54200.0
2024-06-01,Cyber security professionals,1341.0,54000.0
2024-06-01,Data analysts,1444.0,40000.0
2024-06-01,Database administrators and web content technicians,1100.0,31200.0
2024-06-01,Programmers and software development professionals,7780.0,50000.0
2024-07-01,"Actuaries, economists and statisticians",1370.0,54200.0
2024-07-01,Cyber security professionals,1637.0,52500.0
2024-07-01,Data analysts,1566.0,40000.0
2024-07-01,Database administrators and web content technicians,1172.0,31200.0
2024-07-01,Programmers and software development professionals,8404.0,52500.0
2024-08-01,"Actuaries, economists and statisticians",1234.0,55000.0
2024-08-01,Cyber security professionals,1407.0,55000.0
2024-08-01,Data analysts,1449.0,40000.0
2024-08-01,Database administrators and web content technicians,1058.0,31200.0
2024-08-01,Programmers and software development professionals,7352.0,52600.0
2024-09-01,"Actuaries, economists and statisticians",1422.0,54200.0
2024-09-01,Cyber security professionals,1327.0,55000.0
2024-09-01,Data analysts,1355.0,40000.0
2024-09-01,Database administrators and web content technicians,1130.0,31000.0
2024-09-01,Programmers and software development professionals,7604.0,52500.0
2024-10-01,"Actuaries, economists and statisticians",1417.0,52000.0
2024-10-01,Cyber security professionals,1283.0,55000.0
2024-10-01,Data analysts,1261.0,40000.0
2024-10-01,Database administrators and web content technicians,1103.0,31000.0
2024-10-01,Programmers and software development professionals,7219.0,52500.0
2024-11-01,"Actuaries, economists and statisticians",1383.0,53400.0
2024-11-01,Cyber security professionals,1250.0,56000.0
2024-11-01,Data analysts,1274.0,40000.0
2024-11-01,Database administrators and web content technicians,973.0,31500.0
2024-11-01,Programmers and software development professionals,6738.0,52500.0
2024-12-01,"Actuaries, economists and statisticians",1057.0,55000.0
2024-12-01,Cyber security professionals,1032.0,56200.0
2024-12-01,Data analysts,913.0,40000.0
2024-12-01,Database administrators and web content technicians,656.0,32500.0
2024-12-01,Programmers and software development professionals,4754.0,52500.0
2025-01-01,"Actuaries, economists and statisticians",1467.0,55000.0
2025-01-01,Cyber security professionals,1402.0,55000.0
2025-01-01,Data analysts,1394.0,40000.0
2025-01-01,Database administrators and web content technicians,983.0,32000.0
2025-01-01,Programmers and software development professionals,7196.0,52500.0
2025-02-01,"Actuaries, economists and statisticians",1974.0,54900.0
2025-02-01,Cyber security professionals,1710.0,57500.0
2025-02-01,Data analysts,1625.0,40000.0
2025-02-01,Database administrators and web content technicians,1202.0,32000.0
2025-02-01,Programmers and software development professionals,8952.0,54000.0
2025-03-01,"Actuaries, economists and statisticians",2159.0,55000.0
2025-03-01,Cyber security professionals,1936.0,58100.0
2025-03-01,Data analysts,1733.0,40000.0
2025-03-01,Database administrators and web content technicians,1207.0,32000.0
2025-03-01,Programmers and software development professionals,9700.0,55000.0
2025-04-01,"Actuaries, economists and statisticians",1597.0,55000.0
2025-04-01,Cyber security professionals,1719.0,58000.0
2025-04-01,Data analysts,1326.0,40000.0
2025-04-01,Database administrators and web content technicians,955.0,31500.0
2025-04-01,Programmers and software development professionals,7997.0,55000.0
2025-05-01,"Actuaries, economists and statisticians",2548.0,57500.0
