Title,Element Name,Importance,Level,Importance_Rank,Level_Rank
Database Administrators,Active Learning,3.5,4.12,3,2
Database Administrators,Active Listening,3.75,3.88,2,4
Database Administrators,Critical Thinking,3.88,4.0,1,3
Database Administrators,Learning Strategies,3.0,3.25,6,6
Database Administrators,Mathematics,3.0,3.5,6,5
Database Administrators,Monitoring,3.25,3.88,5,4
Database Administrators,Reading Comprehension,3.75,4.25,2,1
Database Administrators,Science,2.0,1.75,7,7
Database Administrators,Speaking,3.38,3.88,4,4
Database Administrators,Writing,3.25,3.88,5,4
Information Security Analysts,Active Learning,3.25,3.88,7,2
Information Security Analysts,Active Listening,3.75,3.88,3,2
Information Security Analysts,Critical Thinking,3.88,4.12,2,1
Information Security Analysts,Learning Strategies,2.88,3.12,8,4
Information Security Analysts,Mathematics,2.25,2.38,9,5
Information Security Analysts,Monitoring,3.38,3.88,6,2
Information Security Analysts,Reading Comprehension,4.0,4.12,1,1
Information Security Analysts,Science,1.88,1.62,10,6
Information Security Analysts,Speaking,3.62,3.75,4,3
Information Security Analysts,Writing,3.5,3.75,5,3
Software Developers,Active Learning,3.5,3.62,2,4
Software Developers,Active Listening,3.38,3.88,3,3
Software Developers,Critical Thinking,3.88,4.12,1,2
Software Developers,Learning Strategies,2.62,3.12,8,7
Software Developers,Mathematics,2.75,3.25,7,6
Software Developers,Monitoring,3.0,3.5,6,5
Software Developers,Reading Comprehension,3.5,4.25,2,1
Software Developers,Science,2.12,1.88,9,8
Software Developers,Speaking,3.12,3.62,5,4
Software Developers,Writing,3.25,3.62,4,4
Statisticians,Active Learning,3.75,3.88,4,6
Statisticians,Active Listening,3.88,4.0,3,5
Statisticians,Critical Thinking,4.0,4.5,2,3
Statisticians,Learning Strategies,3.12,3.0,6,7
Statisticians,Mathematics,4.88,5.38,1,1
Statisticians,Monitoring,3.0,3.0,7,7
Statisticians,Reading Comprehension,4.0,4.88,2,2
Statisticians,Science,3.5,3.88,5,6
Statisticians,Speaking,3.88,4.25,3,4
Statisticians,Writing,3.75,4.25,4,4
