Title,Element Name,Importance,Level,Importance_Rank,Level_Rank
Database Administrators,Critical Thinking,3.88,4.0,1,3
Database Administrators,Reading Comprehension,3.75,4.25,2,1
Database Administrators,Active Listening,3.75,3.88,2,4
Database Administrators,Active Learning,3.5,4.12,3,2
Database Administrators,Speaking,3.38,3.88,4,4
Database Administrators,Monitoring,3.25,3.88,5,4
Database Administrators,Writing,3.25,3.88,5,4
Information Security Analysts,Reading Comprehension,4.0,4.12,1,1
Information Security Analysts,Critical Thinking,3.88,4.12,2,1
Information Security Analysts,Active Listening,3.75,3.88,3,2
Information Security Analysts,Speaking,3.62,3.75,4,3
Information Security Analysts,Writing,3.5,3.75,5,3
Software Developers,Critical Thinking,3.88,4.12,1,2
Software Developers,Reading Comprehension,3.5,4.25,2,1
Software Developers,Active Learning,3.5,3.62,2,4
Software Developers,Active Listening,3.38,3.88,3,3
Software Developers,Writing,3.25,3.62,4,4
Software Developers,Speaking,3.12,3.62,5,4
Statisticians,Mathematics,4.88,5.38,1,1
Statisticians,Reading Comprehension,4.0,4.88,2,2
Statisticians,Critical Thinking,4.0,4.5,2,3
Statisticians,Speaking,3.88,4.25,3,4
Statisticians,Active Listening,3.88,4.0,3,5
Statisticians,Writing,3.75,4.25,4,4
Statisticians,Active Learning,3.75,3.88,4,6
Statisticians,Science,3.5,3.88,5,6
