Month,Occupation,Demand,SOC_Code,Median_Salary
2023-01-01,Programmers and software development professionals,25269.0,2134.0,52500
2023-02-01,Programmers and software development professionals,25118.0,2134.0,55000
2023-03-01,Programmers and software development professionals,21905.0,2134.0,55000
2023-04-01,Programmers and software development professionals,15409.0,2134.0,55000
2023-05-01,Programmers and software development professionals,17787.0,2134.0,55000
2023-06-01,Programmers and software development professionals,18059.0,2134.0,55000
2023-07-01,Programmers and software development professionals,14683.0,2134.0,55000
2023-08-01,Programmers and software development professionals,14362.0,2134.0,51600
2023-09-01,Programmers and software development professionals,10130.0,2134.0,52500
2023-10-01,Programmers and software development professionals,10885.0,2134.0,52500
2023-11-01,Programmers and software development professionals,10015.0,2134.0,52500
2023-12-01,Programmers and software development professionals,10583.0,2134.0,52500
2024-01-01,Programmers and software development professionals,12467.0,2134.0,52500
2024-02-01,Programmers and software development professionals,9540.0,2134.0,50000
2024-03-01,Programmers and software development professionals,8820.0,2134.0,50000
2024-04-01,Programmers and software development professionals,9168.0,2134.0,50000
2024-05-01,Programmers and software development professionals,9123.0,2134.0,50000
2024-06-01,Programmers and software development professionals,7780.0,2134.0,50000
2024-07-01,Programmers and software development professionals,8404.0,2134.0,52500
2024-08-01,Programmers and software development professionals,7352.0,2134.0,52600
2024-09-01,Programmers and software development professionals,7604.0,2134.0,52500
2024-10-01,Programmers and software development professionals,7219.0,2134.0,52500
2024-11-01,Programmers and software development professionals,6738.0,2134.0,52500
2024-12-01,Programmers and software development professionals,4754.0,2134.0,52500
2025-01-01,Programmers and software development professionals,7196.0,2134.0,52500
2025-02-01,Programmers and software development professionals,8952.0,2134.0,54000
2025-03-01,Programmers and software development professionals,9700.0,2134.0,55000
2025-04-01,Programmers and software development professionals,7997.0,2134.0,55000
2025-05-01,Programmers and software development professionals,12689.0,2134.0,55000
2023-01-01,Cyber security professionals,3712.0,2135.0,55000
2023-02-01,Cyber security professionals,3367.0,2135.0,55000
2023-03-01,Cyber security professionals,3073.0,2135.0,55000
2023-04-01,Cyber security professionals,2511.0,2135.0,55100
2023-05-01,Cyber security professionals,2923.0,2135.0,56800
2023-06-01,Cyber security professionals,2889.0,2135.0,57500
2023-07-01,Cyber security professionals,2196.0,2135.0,57500
2023-08-01,Cyber security professionals,2268.0,2135.0,55000
2023-09-01,Cyber security professionals,1511.0,2135.0,55000
2023-10-01,Cyber security professionals,1689.0,2135.0,55000
2023-11-01,Cyber security professionals,1639.0,2135.0,55000
2023-12-01,Cyber security professionals,1715.0,2135.0,55000
2024-01-01,Cyber security professionals,1990.0,2135.0,55000
2024-02-01,Cyber security professionals,1461.0,2135.0,55000
2024-03-01,Cyber security professionals,1442.0,2135.0,55000
2024-04-01,Cyber security professionals,1449.0,2135.0,55000
2024-05-01,Cyber security professionals,1524.0,2135.0,55000
2024-06-01,Cyber security professionals,1341.0,2135.0,54000
2024-07-01,Cyber security professionals,1637.0,2135.0,52500
2024-08-01,Cyber security professionals,1407.0,2135.0,55000
2024-09-01,Cyber security professionals,1327.0,2135.0,55000
2024-10-01,Cyber security professionals,1283.0,2135.0,55000
2024-11-01,Cyber security professionals,1250.0,2135.0,56000
2024-12-01,Cyber security professionals,1032.0,2135.0,56200
2025-01-01,Cyber security professionals,1402.0,2135.0,55000
2025-02-01,Cyber security professionals,1710.0,2135.0,57500
2025-03-01,Cyber security professionals,1936.0,2135.0,58100
2025-04-01,Cyber security professionals,1719.0,2135.0,58000
2025-05-01,Cyber security professionals,2417.0,2135.0,60000
2023-01-01,"Actuaries, economists and statisticians",3993.0,2433.0,55000
2023-02-01,"Actuaries, economists and statisticians",3131.0,2433.0,52500
2023-03-01,"Actuaries, economists and statisticians",2908.0,2433.0,52500
2023-04-01,"Actuaries, economists and statisticians",2473.0,2433.0,52500
2023-05-01,"Actuaries, economists and statisticians",3069.0,2433.0,54100
2023-06-01,"Actuaries, economists and statisticians",2858.0,2433.0,55000
2023-07-01,"Actuaries, economists and statisticians",1888.0,2433.0,56000
2023-08-01,"Actuaries, economists and statisticians",1760.0,2433.0,53300
2023-09-01,"Actuaries, economists and statisticians",1719.0,2433.0,55000
2023-10-01,"Actuaries, economists and statisticians",1845.0,2433.0,54700
2023-11-01,"Actuaries, economists and statisticians",1899.0,2433.0,55000
2023-12-01,"Actuaries, economists and statisticians",1854.0,2433.0,57500
2024-01-01,"Actuaries, economists and statisticians",2061.0,2433.0,57300
2024-02-01,"Actuaries, economists and statisticians",1763.0,2433.0,55000
2024-03-01,"Actuaries, economists and statisticians",1815.0,2433.0,55400
2024-04-01,"Actuaries, economists and statisticians",1757.0,2433.0,56200
2024-05-01,"Actuaries, economists and statisticians",1785.0,2433.0,54800
2024-06-01,"Actuaries, economists and statisticians",1457.0,2433.0,54200
2024-07-01,"Actuaries, economists and statisticians",1370.0,2433.0,54200
2024-08-01,"Actuaries, economists and statisticians",1234.0,2433.0,55000
2024-09-01,"Actuaries, economists and statisticians",1422.0,2433.0,54200
2024-10-01,"Actuaries, economists and statisticians",1417.0,2433.0,52000
2024-11-01,"Actuaries, economists and statisticians",1383.0,2433.0,53400
2024-12-01,"Actuaries, economists and statisticians",1057.0,2433.0,55000
2025-01-01,"Actuaries, economists and statisticians",1467.0,2433.0,55000
2025-02-01,"Actuaries, economists and statisticians",1974.0,2433.0,54900
2025-03-01,"Actuaries, economists and statisticians",2159.0,2433.0,55000
2025-04-01,"Actuaries, economists and statisticians",1597.0,2433.0,55000
2025-05-01,"Actuaries, economists and statisticians",2548.0,2433.0,57500
2023-01-01,Database administrators and web content technicians,2397.0,3133.0,30000
2023-02-01,Database administrators and web content technicians,2084.0,3133.0,30200
2023-03-01,Database administrators and web content technicians,1883.0,3133.0,31100
2023-04-01,Database administrators and web content technicians,1507.0,3133.0,31000
2023-05-01,Database administrators and web content technicians,1958.0,3133.0,31200
2023-06-01,Database administrators and web content technicians,2069.0,3133.0,32000
2023-07-01,Database administrators and web content technicians,1475.0,3133.0,33000
2023-08-01,Database administrators and web content technicians,1435.0,3133.0,32500
2023-09-01,Database administrators and web content technicians,1052.0,3133.0,32500
2023-10-01,Database administrators and web content technicians,1176.0,3133.0,34000
2023-11-01,Database administrators and web content technicians,1090.0,3133.0,34000
2023-12-01,Database administrators and web content technicians,981.0,3133.0,32500
2024-01-01,Database administrators and web content technicians,1440.0,3133.0,31500
2024-02-01,Database administrators and web content technicians,1179.0,3133.0,31500
2024-03-01,Database administrators and web content technicians,1101.0,3133.0,31500
2024-04-01,Database administrators and web content technicians,1185.0,3133.0,31200
2024-05-01,Database administrators and web content technicians,1237.0,3133.0,31000
2024-06-01,Database administrators and web content technicians,1100.0,3133.0,31200
2024-07-01,Database administrators and web content technicians,1172.0,3133.0,31200
2024-08-01,Database administrators and web content technicians,1058.0,3133.0,31200
2024-09-01,Database administrators and web content technicians,1130.0,3133.0,31000
2024-10-01,Database administrators and web content technicians,1103.0,3133.0,31000
2024-11-01,Database administrators and web content technicians,973.0,3133.0,31500
2024-12-01,Database administrators and web content technicians,656.0,3133.0,32500
2025-01-01,Database administrators and web content technicians,983.0,3133.0,32000
2025-02-01,Database administrators and web content technicians,1202.0,3133.0,32000
2025-03-01,Database administrators and web content technicians,1207.0,3133.0,32000
2025-04-01,Database administrators and web content technicians,955.0,3133.0,31500
