Year,Region,Location_Context,SOC_Code,Skill_Category,Median_Annual_Salary,Regional_Average_Monthly_Adverts,Regional_Demand_Growth_Pct
2023,London,London,2134,Software Development,67505.0,164341.2,
2023,London,London,2135,Cybersecurity,,164341.2,
2023,London,London,3544,Data Analytics,40198.0,164341.2,
2023,North West,Manchester regional context,2134,Software Development,43207.0,88384.1,
2023,North West,Manchester regional context,2135,Cybersecurity,59001.0,88384.1,
2023,North West,Manchester regional context,3544,Data Analytics,31496.0,88384.1,
2023,West Midlands,Birmingham regional context,2134,Software Development,41315.0,67152.2,
2023,West Midlands,Birmingham regional context,2135,Cybersecurity,44505.0,67152.2,
2023,West Midlands,Birmingham regional context,3544,Data Analytics,31094.0,67152.2,
2024,London,London,2134,Software Development,68012.0,118799.3,-27.71
2024,London,London,2135,Cybersecurity,60113.0,118799.3,-27.71
2024,London,London,3544,Data Analytics,,118799.3,-27.71
2024,North West,Manchester regional context,2134,Software Development,45180.0,77669.0,-12.12
2024,North West,Manchester regional context,2135,Cybersecurity,,77669.0,-12.12
2024,North West,Manchester regional context,3544,Data Analytics,33521.0,77669.0,-12.12
2024,West Midlands,Birmingham regional context,2134,Software Development,46796.0,58163.8,-13.39
2024,West Midlands,Birmingham regional context,2135,Cybersecurity,42582.0,58163.8,-13.39
2024,West Midlands,Birmingham regional context,3544,Data Analytics,34387.0,58163.8,-13.39
2025,London,London,2134,Software Development,74284.0,121131.8,1.96
2025,London,London,2135,Cybersecurity,59590.0,121131.8,1.96
2025,London,London,3544,Data Analytics,42850.0,121131.8,1.96
2025,North West,Manchester regional context,2134,Software Development,49505.0,77827.8,0.2
2025,North West,Manchester regional context,2135,Cybersecurity,51954.0,77827.8,0.2
2025,North West,Manchester regional context,3544,Data Analytics,33871.0,77827.8,0.2
2025,West Midlands,Birmingham regional context,2134,Software Development,47744.0,59020.1,1.47
2025,West Midlands,Birmingham regional context,2135,Cybersecurity,,59020.1,1.47
2025,West Midlands,Birmingham regional context,3544,Data Analytics,44172.0,59020.1,1.47
