Year,Region,Location_Context,SOC_Code,Skill_Category,Median_Annual_Salary
2023,London,London,2135,Cybersecurity,
2023,North West,Manchester regional context,2135,Cybersecurity,59001.0
2023,West Midlands,Birmingham regional context,2135,Cybersecurity,44505.0
2023,London,London,3544,Data Analytics,40198.0
2023,North West,Manchester regional context,3544,Data Analytics,31496.0
2023,West Midlands,Birmingham regional context,3544,Data Analytics,31094.0
2023,London,London,2134,Software Development,67505.0
2023,North West,Manchester regional context,2134,Software Development,43207.0
2023,West Midlands,Birmingham regional context,2134,Software Development,41315.0
2024,London,London,2135,Cybersecurity,60113.0
2024,North West,Manchester regional context,2135,Cybersecurity,
2024,West Midlands,Birmingham regional context,2135,Cybersecurity,42582.0
2024,London,London,3544,Data Analytics,
2024,North West,Manchester regional context,3544,Data Analytics,33521.0
2024,West Midlands,Birmingham regional context,3544,Data Analytics,34387.0
2024,London,London,2134,Software Development,68012.0
2024,North West,Manchester regional context,2134,Software Development,45180.0
2024,West Midlands,Birmingham regional context,2134,Software Development,46796.0
2025,London,London,2135,Cybersecurity,59590.0
2025,North West,Manchester regional context,2135,Cybersecurity,51954.0
2025,West Midlands,Birmingham regional context,2135,Cybersecurity,
2025,London,London,3544,Data Analytics,42850.0
2025,North West,Manchester regional context,3544,Data Analytics,33871.0
2025,West Midlands,Birmingham regional context,3544,Data Analytics,44172.0
2025,London,London,2134,Software Development,74284.0
2025,North West,Manchester regional context,2134,Software Development,49505.0
2025,West Midlands,Birmingham regional context,2134,Software Development,47744.0
