Year,Region,Location_Context,SOC_Code,Skill_Category,Median_Annual_Salary,West_Midlands_Baseline,Salary_Premium_GBP,Salary_Premium_Pct
2023,London,London,2135,Cybersecurity,,44505.0,,
2023,North West,Manchester regional context,2135,Cybersecurity,59001.0,44505.0,14496.0,32.57
2023,West Midlands,Birmingham regional context,2135,Cybersecurity,44505.0,44505.0,0.0,0.0
2023,London,London,3544,Data Analytics,40198.0,31094.0,9104.0,29.28
2023,North West,Manchester regional context,3544,Data Analytics,31496.0,31094.0,402.0,1.29
2023,West Midlands,Birmingham regional context,3544,Data Analytics,31094.0,31094.0,0.0,0.0
2023,London,London,2134,Software Development,67505.0,41315.0,26190.0,63.39
2023,North West,Manchester regional context,2134,Software Development,43207.0,41315.0,1892.0,4.58
2023,West Midlands,Birmingham regional context,2134,Software Development,41315.0,41315.0,0.0,0.0
2024,London,London,2135,Cybersecurity,60113.0,42582.0,17531.0,41.17
2024,North West,Manchester regional context,2135,Cybersecurity,,42582.0,,
2024,West Midlands,Birmingham regional context,2135,Cybersecurity,42582.0,42582.0,0.0,0.0
2024,London,London,3544,Data Analytics,,34387.0,,
2024,North West,Manchester regional context,3544,Data Analytics,33521.0,34387.0,-866.0,-2.52
2024,West Midlands,Birmingham regional context,3544,Data Analytics,34387.0,34387.0,0.0,0.0
2024,London,London,2134,Software Development,68012.0,46796.0,21216.0,45.34
2024,North West,Manchester regional context,2134,Software Development,45180.0,46796.0,-1616.0,-3.45
2024,West Midlands,Birmingham regional context,2134,Software Development,46796.0,46796.0,0.0,0.0
2025,London,London,2135,Cybersecurity,59590.0,,,
2025,North West,Manchester regional context,2135,Cybersecurity,51954.0,,,
2025,West Midlands,Birmingham regional context,2135,Cybersecurity,,,,
2025,London,London,3544,Data Analytics,42850.0,44172.0,-1322.0,-2.99
2025,North West,Manchester regional context,3544,Data Analytics,33871.0,44172.0,-10301.0,-23.32
2025,West Midlands,Birmingham regional context,3544,Data Analytics,44172.0,44172.0,0.0,0.0
2025,London,London,2134,Software Development,74284.0,47744.0,26540.0,55.59
2025,North West,Manchester regional context,2134,Software Development,49505.0,47744.0,1761.0,3.69
2025,West Midlands,Birmingham regional context,2134,Software Development,47744.0,47744.0,0.0,0.0
