SOC_Code,Occupation,Month,Median_Salary
2134.0,Programmers and software development professionals,2023-01-01,52500
2135.0,Cyber security professionals,2023-01-01,55000
2433.0,"Actuaries, economists and statisticians",2023-01-01,55000
3133.0,Database administrators and web content technicians,2023-01-01,30000
3544.0,Data analysts,2023-01-01,39000
2134.0,Programmers and software development professionals,2023-02-01,55000
2135.0,Cyber security professionals,2023-02-01,55000
2433.0,"Actuaries, economists and statisticians",2023-02-01,52500
3133.0,Database administrators and web content technicians,2023-02-01,30200
3544.0,Data analysts,2023-02-01,39100
2134.0,Programmers and software development professionals,2023-03-01,55000
2135.0,Cyber security professionals,2023-03-01,55000
2433.0,"Actuaries, economists and statisticians",2023-03-01,52500
3133.0,Database administrators and web content technicians,2023-03-01,31100
3544.0,Data analysts,2023-03-01,40000
2134.0,Programmers and software development professionals,2023-04-01,55000
2135.0,Cyber security professionals,2023-04-01,55100
2433.0,"Actuaries, economists and statisticians",2023-04-01,52500
3133.0,Database administrators and web content technicians,2023-04-01,31000
3544.0,Data analysts,2023-04-01,40000
2134.0,Programmers and software development professionals,2023-05-01,55000
2135.0,Cyber security professionals,2023-05-01,56800
2433.0,"Actuaries, economists and statisticians",2023-05-01,54100
3133.0,Database administrators and web content technicians,2023-05-01,31200
3544.0,Data analysts,2023-05-01,40000
2134.0,Programmers and software development professionals,2023-06-01,55000
2135.0,Cyber security professionals,2023-06-01,57500
2433.0,"Actuaries, economists and statisticians",2023-06-01,55000
3133.0,Database administrators and web content technicians,2023-06-01,32000
3544.0,Data analysts,2023-06-01,39600
2134.0,Programmers and software development professionals,2023-07-01,55000
2135.0,Cyber security professionals,2023-07-01,57500
2433.0,"Actuaries, economists and statisticians",2023-07-01,56000
3133.0,Database administrators and web content technicians,2023-07-01,33000
3544.0,Data analysts,2023-07-01,40000
2134.0,Programmers and software development professionals,2023-08-01,51600
2135.0,Cyber security professionals,2023-08-01,55000
2433.0,"Actuaries, economists and statisticians",2023-08-01,53300
3133.0,Database administrators and web content technicians,2023-08-01,32500
3544.0,Data analysts,2023-08-01,40000
2134.0,Programmers and software development professionals,2023-09-01,52500
2135.0,Cyber security professionals,2023-09-01,55000
2433.0,"Actuaries, economists and statisticians",2023-09-01,55000
3133.0,Database administrators and web content technicians,2023-09-01,32500
3544.0,Data analysts,2023-09-01,40000
2134.0,Programmers and software development professionals,2023-10-01,52500
2135.0,Cyber security professionals,2023-10-01,55000
